,0
2081,7
2082,3
2083,47
2084,9
2085,3
2086,6
2087,2
2088,3
2089,5
2090,35
2091,14
2092,19
2093,19
2094,4
2095,4
2096,2
2097,10
2098,7
2099,5
2100,11
2101,6
2102,32
2103,4
2104,11
2105,2
2106,6
2107,12
2108,7
2109,33
2110,1
2111,4
2112,3
2113,9
2114,39
2115,11
2116,18
2117,10
2118,2
2119,2
2120,30
2121,6
2122,5
2123,17
2124,2
2125,9
2126,8
2127,1
2128,14
2129,5
2130,5
2131,5
2132,4
2133,6
2134,3
2135,2
2136,12
2137,18
2138,2
2139,9
2140,51
2141,10
2142,34
2143,2
2144,37
2145,1
2146,2
2147,19
2148,8
2149,5
2150,6
2151,48
2152,23
2153,2
2154,3
2155,5
2156,1
2157,2
2158,4
2159,3
2160,19
2161,4
2162,3
2163,3
2164,6
2165,29
2166,24
2167,14
2168,1
2169,1
2170,3
2171,4
2172,17
2173,2
2174,2
2175,6
2176,9
2177,16
2178,2
2179,14
2180,5
2181,3
2182,35
2183,8
2184,9
2185,5
2186,13
2187,45
2188,3
2189,2
2190,6
2191,8
2192,2
2193,6
2194,5
2195,5
2196,34
2197,4
2198,6
2199,1
2200,4
2201,15
2202,19
2203,4
2204,62
2205,11
2206,29
2207,1
2208,14
2209,1
2210,16
2211,5
2212,9
2213,5
2214,11
2215,30
2216,8
2217,1
2218,1
2219,6
2220,32
2221,4
2222,3
2223,2
2224,2
2225,5
2226,14
2227,2
2228,10
2229,25
2230,19
2231,1
2232,22
2233,16
2234,14
2235,9
2236,6
2237,18
2238,3
2239,26
2240,39
2241,1
2242,4
2243,2
2244,57
2245,18
2246,46
2247,20
2248,12
2249,5
2250,5
2251,11
2252,4
2253,55
2254,21
2255,9
2256,16
2257,3
2258,19
2259,2
2260,27
2261,7
2262,2
2263,3
2264,43
2265,1
2266,2
2267,58
2268,8
2269,13
2270,1
2271,5
2272,3
2273,14
2274,1
2275,9
2276,6
2277,2
2278,2
2279,9
2280,22
2281,35
2282,24
2283,41
2284,2
2285,4
2286,6
2287,12
2288,6
2289,7
2290,14
2291,5
2292,19
2293,17
2294,13
2295,55
2296,10
2297,4
2298,11
2299,33
2300,7
2301,9
2302,41
2303,2
2304,31
2305,27
2306,14
2307,4
2308,5
2309,11
2310,13
2311,15
2312,3
2313,3
2314,14
2315,2
2316,59
2317,16
2318,40
2319,13
2320,2
2321,12
2322,40
2323,12
2324,61
2325,4
2326,2
2327,54
2328,31
2329,20
2330,12
2331,32
2332,2
2333,3
2334,4
2335,13
2336,4
2337,24
2338,4
2339,2
2340,1
2341,11
2342,4
2343,6
2344,1
2345,7
2346,3
2347,26
2348,3
2349,47
2350,20
2351,21
2352,10
2353,2
2354,49
2355,10
2356,2
2357,12
2358,3
2359,17
2360,10
2361,12
2362,52
2363,1
2364,1
2365,3
2366,2
2367,11
2368,29
2369,4
2370,7
2371,28
2372,20
2373,28
2374,21
2375,4
2376,57
2377,1
2378,8
2379,3
2380,27
2381,62
2382,18
2383,1
2384,13
2385,48
2386,3
2387,12
2388,19
2389,6
2390,18
2391,1
2392,15
2393,8
2394,1
2395,2
2396,25
2397,23
2398,4
2399,1
2400,13
2401,8
2402,1
2403,5
2404,9
2405,1
2406,55
2407,11
2408,11
2409,4
2410,4
2411,6
2412,13
2413,5
2414,2
2415,12
2416,6
2417,6
2418,6
2419,3
2420,5
2421,2
2422,3
2423,2
2424,2
2425,21
2426,5
2427,22
2428,7
2429,31
2430,51
2431,12
2432,6
2433,45
2434,4
2435,2
